village,ration_type
1,3
1,3
1,3
1,2
4,2
6,2
6,3
6,3
7,2
8,1
12,2
17,2
17,3
17,2
17,3
18,2
19,
24,2
24,2
25,
25,2
25,2
25,2
25,1
25,2
25,2
25,
25,
27,3
28,2
28,3
28,2
28,1
30,3
30,2
30,2
35,2
35,
38,2
38,2
40,2
40,2
45,2
47,3
47,2
48,3
48,3
48,2
48,2
48,3
51,2
52,2
54,2
54,2
54,
54,2
57,3
61,2
62,1
62,3
63,2
65,2
66,2
66,2
66,2
66,2
66,2
66,2
67,3
66,2
66,2
66,2
67,2
70,2
70,2
71,2
73,2
73,2
74,2
74,2
74,2
74,2
74,2
74,2
76,2
87,2
91,2
94,3
99,2
99,2
99,2
103,2
103,3
107,2
111,2
112,2
79,2
78,
78,3
100,2
