individual_id,household_id,dob,sex,education
48186,H02120480040,1967-07-06,2,7
48188,H02120480040,1993-03-30,1,12
111596,H05321120136,2003-06-27,2,11
48466,H02120480117,2008-08-12,1,6
48467,H02120480117,2008-08-12,1,6
48808,H02120480209,2005-08-18,1,9
48809,H02120480209,2007-08-04,2,7
20901,H01080250340,1958-07-01,2,4
20903,H01080250340,1939-10-21,2,0
20900,H01080250340,1954-07-01,1,7
20902,H01080250340,1990-12-06,1,10
86783,H03200730088,1957-11-06,2,2
52635,H02130510107,1957-12-20,1,7
52632,H02130510107,1986-11-05,1,9
52633,H02130510107,1996-12-01,2,12
52636,H02130510107,1974-12-20,2,0
53557,H02130520143,1988-10-22,2,12
53558,H02130520143,2019-03-06,1,
29250,H02090280457,1999-08-10,1,12
4638,H01010011264,1961-07-01,1,0
4639,H01010011264,1976-07-01,2,0
56563,H03140540210,2016-02-19,1,
56562,H03140540210,2017-05-07,2,
33852,H02090300345,1991-10-18,2,11
33851,H02090300345,1979-04-25,1,11
47828,H02110470252,1984-10-10,1,9
56557,H03140540210,1966-01-01,2,10
7881,H01030060027,1946-01-01,1,8
8688,H01030060261,1996-12-09,1,9
8687,H01030060261,1976-08-05,2,7
8686,H01030060261,1969-01-01,1,7
9046,H01030060364,1980-07-01,2,6
9044,H01030060364,1946-07-01,1,0
9047,H01030060364,2001-07-01,1,9
9048,H01030060364,2003-07-01,1,10
9049,H01030060364,2006-07-01,2,8
75965,H03180661236,1995-02-06,2,99
10524,H01040080042,1959-07-01,2,3
40803,H02100380267,1971-01-01,1,10
40804,H02100380267,1979-01-01,2,9
38211,H02100350146,1946-01-01,2,4
86960,H03200730134,1988-07-22,2,9
86962,H03200730134,2015-06-18,1,
86959,H03200730134,1987-11-17,1,9
86961,H03200730134,2011-07-22,1,3
72851,H03180660340,1996-06-21,1,98
72850,H03180660340,1975-06-14,2,6
13929,H01050170096,1976-06-05,1,12
13930,H01050170096,1978-07-01,2,10
14145,H01050170151,1945-09-07,2,0
